frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
151,1780759688007,11.636,0,6.030761e-8,-5.399280e-7,5.432856e-7,-83.627,8.313954e-7,0,0,0,0
152,1780759688055,14.311,0,4.686312e-8,-5.628338e-7,5.647814e-7,-85.240,8.311741e-7,0,0,0,0
153,1780759688107,13.658,0,3.811922e-8,-5.958543e-7,5.970724e-7,-86.340,8.307476e-7,0,0,0,0
154,1780759688158,13.501,0,3.595613e-8,-6.252131e-7,6.262461e-7,-86.709,8.303278e-7,0,0,0,0
155,1780759688208,14.631,0,3.695439e-8,-6.456735e-7,6.467301e-7,-86.724,8.298425e-7,0,0,0,0
156,1780759688258,12.548,0,4.458090e-8,-6.779392e-7,6.794035e-7,-86.238,8.291009e-7,0,0,0,0
157,1780759688308,13.529,0,5.892628e-8,-6.949508e-7,6.974446e-7,-85.153,8.285126e-7,0,0,0,0
158,1780759688357,12.767,0,8.071700e-8,-7.232616e-7,7.277517e-7,-83.632,8.276914e-7,0,0,0,0
159,1780759688407,13.346,0,1.062997e-7,-7.352121e-7,7.428570e-7,-81.773,8.270780e-7,0,0,0,0
160,1780759688458,13.245,0,1.325197e-7,-7.464671e-7,7.581389e-7,-79.933,8.264849e-7,0,0,0,0
161,1780759688508,14.257,0,1.558349e-7,-7.437602e-7,7.599104e-7,-78.166,8.256971e-7,0,0,0,0
162,1780759688558,13.043,0,1.771137e-7,-7.248856e-7,7.462094e-7,-76.270,8.251322e-7,0,0,0,0
163,1780759688607,12.166,0,2.023576e-7,-7.191350e-7,7.470634e-7,-74.284,8.244218e-7,0,0,0,0
164,1780759688656,13.387,0,2.284554e-7,-7.007665e-7,7.370655e-7,-71.944,8.239748e-7,0,0,0,0
165,1780759688705,12.402,0,2.464255e-7,-6.931132e-7,7.356164e-7,-70.428,8.235288e-7,0,0,0,0
166,1780759688755,14.179,0,2.614347e-7,-6.743758e-7,7.232779e-7,-68.810,8.232773e-7,0,0,0,0
167,1780759688805,14.562,0,2.758098e-7,-6.545109e-7,7.102504e-7,-67.150,8.230904e-7,0,0,0,0
168,1780759688856,12.010,0,2.850644e-7,-6.366044e-7,6.975148e-7,-65.878,8.229424e-7,0,0,0,0
169,1780759688905,13.986,0,2.886284e-7,-5.991964e-7,6.650885e-7,-64.280,8.229254e-7,0,0,0,0
170,1780759688955,14.421,0,2.869826e-7,-5.821501e-7,6.490437e-7,-63.758,8.229929e-7,0,0,0,0
171,1780759689006,14.595,0,2.778555e-7,-5.539765e-7,6.197529e-7,-63.363,8.230937e-7,0,0,0,0
172,1780759689057,12.006,0,2.710668e-7,-5.304713e-7,5.957155e-7,-62.933,8.232263e-7,0,0,0,0
173,1780759689105,14.266,0,2.622265e-7,-5.015639e-7,5.659762e-7,-62.399,8.234588e-7,0,0,0,0
174,1780759689156,14.495,0,2.530687e-7,-4.745327e-7,5.377965e-7,-61.929,8.236781e-7,0,0,0,0
175,1780759689207,11.804,0,2.389399e-7,-4.584162e-7,5.169504e-7,-62.470,8.239764e-7,0,0,0,0
176,1780759689256,13.254,0,2.212454e-7,-4.341843e-7,4.873044e-7,-62.998,8.241664e-7,0,0,0,0
177,1780759689307,13.333,0,2.019903e-7,-4.307263e-7,4.757365e-7,-64.876,8.242891e-7,0,0,0,0
178,1780759689356,12.792,0,1.785259e-7,-4.202024e-7,4.565540e-7,-66.981,8.243378e-7,0,0,0,0
179,1780759689406,13.323,0,1.561270e-7,-4.276229e-7,4.552329e-7,-69.943,8.242747e-7,0,0,0,0
180,1780759689457,14.051,0,1.396976e-7,-4.449345e-7,4.663498e-7,-72.569,8.240548e-7,0,0,0,0
181,1780759689506,13.060,0,1.241979e-7,-4.639572e-7,4.802930e-7,-75.014,8.238105e-7,0,0,0,0
182,1780759689556,13.273,0,1.105826e-7,-4.919507e-7,5.042261e-7,-77.331,8.233443e-7,0,0,0,0
183,1780759689605,12.411,0,1.037744e-7,-5.109399e-7,5.213720e-7,-78.519,8.229062e-7,0,0,0,0
184,1780759689655,13.268,0,1.094839e-7,-5.505330e-7,5.613139e-7,-78.752,8.223940e-7,0,0,0,0
185,1780759689706,13.428,0,1.153914e-7,-5.776487e-7,5.890613e-7,-78.703,8.216409e-7,0,0,0,0
186,1780759689757,13.635,0,1.247699e-7,-6.161334e-7,6.286397e-7,-78.552,8.210419e-7,0,0,0,0
187,1780759689808,13.585,0,1.364723e-7,-6.481239e-7,6.623362e-7,-78.109,8.201993e-7,0,0,0,0
188,1780759689858,14.497,0,1.514998e-7,-6.785644e-7,6.952710e-7,-77.414,8.195701e-7,0,0,0,0
189,1780759689908,12.976,0,1.738007e-7,-7.199128e-7,7.405951e-7,-76.427,8.189640e-7,0,0,0,0
190,1780759689956,12.248,0,1.998154e-7,-7.462948e-7,7.725815e-7,-75.011,8.182550e-7,0,0,0,0
191,1780759690006,13.998,0,2.314079e-7,-7.809712e-7,8.145340e-7,-73.495,8.178098e-7,0,0,0,0
192,1780759690056,14.490,0,2.595489e-7,-7.930515e-7,8.344437e-7,-71.878,8.173567e-7,0,0,0,0
193,1780759690107,12.129,0,2.850172e-7,-7.945873e-7,8.441586e-7,-70.267,8.171329e-7,0,0,0,0
194,1780759690156,13.541,0,3.048026e-7,-7.845169e-7,8.416481e-7,-68.768,8.169951e-7,0,0,0,0
195,1780759690207,14.190,0,3.197227e-7,-7.638896e-7,8.281002e-7,-67.288,8.169878e-7,0,0,0,0
196,1780759690257,11.807,0,3.298501e-7,-7.510872e-7,8.203250e-7,-66.291,8.170823e-7,0,0,0,0
197,1780759690306,13.309,0,3.319918e-7,-7.166080e-7,7.897757e-7,-65.143,8.173188e-7,0,0,0,0
198,1780759690356,11.924,0,3.309227e-7,-6.957316e-7,7.704234e-7,-64.562,8.175519e-7,0,0,0,0
199,1780759690405,13.925,0,3.317834e-7,-6.546043e-7,7.338849e-7,-63.122,8.179069e-7,0,0,0,0
200,1780759690456,13.383,0,3.240288e-7,-6.190693e-7,6.987428e-7,-62.372,8.182108e-7,0,0,0,0
201,1780759690507,13.288,0,3.114205e-7,-5.893057e-7,6.665312e-7,-62.146,8.185005e-7,0,0,0,0
202,1780759690558,13.558,0,2.950356e-7,-5.566800e-7,6.300307e-7,-62.077,8.188691e-7,0,0,0,0
203,1780759690609,13.854,0,2.792420e-7,-5.457325e-7,6.130254e-7,-62.902,8.191071e-7,0,0,0,0
204,1780759690658,12.605,0,2.601760e-7,-5.212138e-7,5.825421e-7,-63.473,8.193528e-7,0,0,0,0
205,1780759690708,13.525,0,2.400126e-7,-5.101778e-7,5.638151e-7,-64.805,8.194569e-7,0,0,0,0
206,1780759690759,13.328,0,2.152084e-7,-4.957498e-7,5.404466e-7,-66.534,8.194814e-7,0,0,0,0
207,1780759690810,13.201,0,1.915394e-7,-4.862490e-7,5.226140e-7,-68.500,8.193991e-7,0,0,0,0
208,1780759690861,13.224,0,1.644419e-7,-4.985241e-7,5.249452e-7,-71.744,8.192418e-7,0,0,0,0
209,1780759690912,13.405,0,1.365615e-7,-5.015281e-7,5.197879e-7,-74.768,8.189133e-7,0,0,0,0
210,1780759690962,12.197,0,1.252862e-7,-5.180233e-7,5.329585e-7,-76.404,8.185647e-7,0,0,0,0
211,1780759691011,13.269,0,1.154161e-7,-5.257929e-7,5.383113e-7,-77.619,8.179960e-7,0,0,0,0
212,1780759691062,13.322,0,1.107177e-7,-5.499699e-7,5.610038e-7,-78.618,8.174861e-7,0,0,0,0
213,1780759691112,14.347,0,1.078230e-7,-5.697532e-7,5.798659e-7,-79.284,8.169028e-7,0,0,0,0
214,1780759691161,14.245,0,1.134297e-7,-5.872300e-7,5.980848e-7,-79.067,8.160537e-7,0,0,0,0
215,1780759691209,13.795,0,1.260422e-7,-6.142616e-7,6.270598e-7,-78.404,8.153635e-7,0,0,0,0
216,1780759691258,12.564,0,1.397975e-7,-6.319724e-7,6.472499e-7,-77.527,8.144123e-7,0,0,0,0
217,1780759691308,13.299,0,1.604340e-7,-6.729352e-7,6.917954e-7,-76.590,8.136798e-7,0,0,0,0
218,1780759691359,13.308,0,1.805710e-7,-7.068743e-7,7.295733e-7,-75.670,8.129362e-7,0,0,0,0
219,1780759691408,12.291,0,2.030416e-7,-7.462664e-7,7.733948e-7,-74.780,8.119401e-7,0,0,0,0
220,1780759691457,14.548,0,2.257033e-7,-7.748649e-7,8.070673e-7,-73.760,8.111882e-7,0,0,0,0
221,1780759691507,13.099,0,2.487885e-7,-7.945307e-7,8.325711e-7,-72.613,8.102374e-7,0,0,0,0
222,1780759691555,12.289,0,2.758514e-7,-8.195490e-7,8.647280e-7,-71.397,8.095660e-7,0,0,0,0
223,1780759691605,13.334,0,3.014099e-7,-8.219054e-7,8.754293e-7,-69.861,8.089662e-7,0,0,0,0
224,1780759691656,14.154,0,3.307224e-7,-8.287010e-7,8.922570e-7,-68.244,8.083011e-7,0,0,0,0
