frame_index,unix_ms,read_us,is_dup,pll_a,pll_b,overload_a,overload_b
460,1780760336723,13980,0,0,0,0,0
461,1780760336773,14565,0,0,0,0,0
462,1780760336824,11897,0,0,0,0,0
463,1780760336873,13422,0,0,0,0,0
464,1780760336924,13868,0,0,0,0,0
465,1780760336974,11896,0,0,0,0,0
466,1780760337023,13408,0,0,0,0,0
467,1780760337073,11888,0,0,0,0,0
468,1780760337121,14604,0,0,0,0,0
469,1780760337172,12079,0,0,0,0,0
470,1780760337221,14151,0,0,0,0,0
471,1780760337271,14561,0,0,0,0,0
472,1780760337322,14489,0,0,0,0,0
473,1780760337373,14498,0,0,0,0,0
474,1780760337424,14622,0,0,0,0,0
475,1780760337474,12967,0,0,0,0,0
476,1780760337523,12124,0,0,0,0,0
477,1780760337572,14158,0,0,0,0,0
478,1780760337620,13579,0,0,0,0,0
479,1780760337671,13406,0,0,0,0,0
480,1780760337722,13199,0,0,0,0,0
481,1780760337771,12298,0,0,0,0,0
482,1780760337820,12145,0,0,0,0,0
483,1780760337869,13213,0,0,0,0,0
484,1780760337920,14029,0,0,0,0,0
485,1780760337969,12794,0,0,0,0,0
486,1780760338019,13179,0,0,0,0,0
487,1780760338070,13260,0,0,0,0,0
488,1780760338120,12020,0,0,0,0,0
489,1780760338169,14029,0,0,0,0,0
490,1780760338220,14040,0,0,0,0,0
491,1780760338270,12054,0,0,0,0,0
492,1780760338319,13233,0,0,0,0,0
493,1780760338370,14112,0,0,0,0,0
494,1780760338420,12034,0,0,0,0,0
495,1780760338468,14606,0,0,0,0,0
496,1780760338520,14038,0,0,0,0,0
497,1780760338571,13842,0,0,0,0,0
498,1780760338622,13352,0,0,0,0,0
499,1780760338673,13298,0,0,0,0,0
500,1780760338724,13314,0,0,0,0,0
501,1780760338775,13210,0,0,0,0,0
502,1780760338826,13360,0,0,0,0,0
503,1780760338875,12435,0,0,0,0,0
504,1780760338924,14246,0,0,0,0,0
505,1780760338974,12874,0,0,0,0,0
506,1780760339024,13274,0,0,0,0,0
507,1780760339075,13499,0,0,0,0,0
508,1780760339126,13210,0,0,0,0,0
509,1780760339175,12718,0,0,0,0,0
510,1780760339224,11944,0,0,0,0,0
511,1780760339273,13899,0,0,0,0,0
512,1780760339324,13832,0,0,0,0,0
513,1780760339373,12860,0,0,0,0,0
514,1780760339423,13775,0,0,0,0,0
515,1780760339474,13492,0,0,0,0,0
516,1780760339525,13214,0,0,0,0,0
517,1780760339576,13708,0,0,0,0,0
518,1780760339627,13286,0,0,0,0,0
519,1780760339676,12249,0,0,0,0,0
520,1780760339726,13288,0,0,0,0,0
521,1780760339777,13301,0,0,0,0,0
522,1780760339828,13307,0,0,0,0,0
523,1780760339879,13361,0,0,0,0,0
524,1780760339930,14128,0,0,0,0,0
525,1780760339980,14550,0,0,0,0,0
526,1780760340031,11703,0,0,0,0,0
527,1780760340080,13311,0,0,0,0,0
528,1780760340130,11985,0,0,0,0,0
529,1780760340179,13253,0,0,0,0,0
530,1780760340230,13247,0,0,0,0,0
531,1780760340281,13310,0,0,0,0,0
532,1780760340331,12063,0,0,0,0,0
533,1780760340379,14225,0,0,0,0,0
534,1780760340429,12536,0,0,0,0,0
535,1780760340478,12119,0,0,0,0,0
536,1780760340527,13255,0,0,0,0,0
537,1780760340576,12645,0,0,0,0,0
538,1780760340625,11679,0,0,0,0,0
539,1780760340674,13946,0,0,0,0,0
